Type,Condition,Item,Sentence,CompQ,CompQAns,Error Type,Edits
Expt,POToPlaus,101,The sister mailed the letter to the niece.,Did the niece receive something? ,Yes,Deletion,0
Expt,POToPlaus,102,The mother gave the candle to the daughter.,Did the daughter receive something? ,Yes,Deletion,0
Expt,POToPlaus,103,The uncle sold the truck to the father.,Did the father receive something? ,Yes,Deletion,0
Expt,POToPlaus,104,The contractor lent the saw to the homeowner.,Did the homeowner receive something? ,Yes,Deletion,0
Expt,POToPlaus,105,The sailing club leased the boat to the man.,Did the man receive something?,Yes,Deletion,0
Expt,POToPlaus,106,The girl tossed the apple to the boy.,Did the apple receive someone? ,No,Deletion,0
Expt,POToPlaus,107,The daughter passed the bowl to the mother.,Did the bowl receive someone? ,No,Deletion,0
Expt,POToPlaus,108,The scuba instructor rented the equipment to the tourist.,Did the equipment receive someone? ,No,Deletion,0
Expt,POToPlaus,109,The boy handed the pencil to the girl.,Did the pencil receive someone? ,No,Deletion,0
Expt,POToPlaus,110,The nanny threw the toy to the child.,Did the toy receive someone? ,No,Deletion,0
Expt,POToPlaus,111,The nephew mailed the postcard to the aunt.,Did the postcard receive someone? ,No,Deletion,0
Expt,POToPlaus,112,The father gave the car to the son.,Did the car receive someone? ,No,Deletion,0
Expt,POToPlaus,113,The shop sold the bike to the student.,Did the bike receive someone? ,No,Deletion,0
Expt,POToPlaus,114,The janitor lent the mop to the teacher.,Did the mop receive someone? ,No,Deletion,0
Expt,POToPlaus,115,The car dealer leased the SUV to the plumber.,Did the SUV receive someone? ,No,Deletion,0
Expt,POToPlaus,116,The host tossed the microphone to the contestant.,Did the contestant receive something? ,Yes,Deletion,0
Expt,POToPlaus,117,The quarterback passed the ball to the receiver.,Did the receiver receive something? ,Yes,Deletion,0
Expt,POToPlaus,118,The videostore rented the DVD to the customer.,Did the customer receive something? ,Yes,Deletion,0
Expt,POToPlaus,119,The bartender handed the drink to the lady.,Did the lady receive something? ,Yes,Deletion,0
Expt,POToPlaus,120,The magician threw the hat to the assistant.,Did the assistant receive something? ,Yes,Deletion,0
Expt,DOToPlaus,121,The sister mailed the niece the letter.,Did the niece receive something? ,Yes,Insertion,0
Expt,DOToPlaus,122,The mother gave the daughter the candle.,Did the daughter receive something? ,Yes,Insertion,0
Expt,DOToPlaus,123,The uncle sold the father the truck.,Did the father receive something? ,Yes,Insertion,0
Expt,DOToPlaus,124,The contractor lent the homeowner the saw.,Did the homeowner receive something? ,Yes,Insertion,0
Expt,DOToPlaus,125,The sailing club leased the man the boat.,Did the man receive something? ,Yes,Insertion,0
Expt,DOToPlaus,126,The girl tossed the boy the apple.,"Did the apple receive someone?
",No,Insertion,0
Expt,DOToPlaus,127,The daughter passed the mother the bowl.,Did the bowl receive someone? ,No,Insertion,0
Expt,DOToPlaus,128,The scuba instructor rented the tourist the equipment.,Did the equipment receive someone? ,No,Insertion,0
Expt,DOToPlaus,129,The boy handed the girl the pencil.,Did the pencil receive someone? ,No,Insertion,0
Expt,DOToPlaus,130,The nanny threw the child the toy.,Did the toy receive someone? ,No,Insertion,0
Expt,DOToPlaus,131,The nephew mailed the aunt the postcard.,Did the postcard receive someone? ,No,Insertion,0
Expt,DOToPlaus,132,The father gave the son the car.,Did the car receive someone? ,No,Insertion,0
Expt,DOToPlaus,133,The shop sold the student the bike.,Did the bike receive someone? ,No,Insertion,0
Expt,DOToPlaus,134,The janitor lent the teacher the mop.,Did the mop receive someone? ,No,Insertion,0
Expt,DOToPlaus,135,The car dealer leased the plumber the SUV.,Did the SUV receive someone? ,No,Insertion,0
Expt,DOToPlaus,136,The host tossed the contestant the microphone.,Did the contestant receive something? ,Yes,Insertion,0
Expt,DOToPlaus,137,The quarterback passed the receiver the ball.,Did the receiver receive something? ,Yes,Insertion,0
Expt,DOToPlaus,138,The videostore rented the customer the DVD.,Did the customer receive something? ,Yes,Insertion,0
Expt,DOToPlaus,139,The bartender handed the lady the drink.,Did the lady receive something? ,Yes,Insertion,0
Expt,DOToPlaus,140,The magician threw the assistant the hat.,Did the assistant receive something? ,Yes,Insertion,0
Expt,DOToImplaus,201,The sister mailed the letter the niece.,Did the niece receive something? ,No,Deletion,1
Expt,DOToImplaus,202,The mother gave the candle the daughter.,"Did the daughter receive something? 
",No,Deletion,1
Expt,DOToImplaus,203,The uncle sold the truck the father.,Did the father receive something? ,No,Deletion,1
Expt,DOToImplaus,204,The contractor lent the saw the homeowner.,Did the homeowner receive something? ,No,Deletion,1
Expt,DOToImplaus,205,The sailing club leased the boat the man.,Did the man receive something? ,No,Deletion,1
Expt,DOToImplaus,206,The girl tossed the apple the boy.,Did the apple receive someone? ,Yes,Deletion,1
Expt,DOToImplaus,207,The daughter passed the bowl the mother.,Did the bowl receive someone? ,Yes,Deletion,1
Expt,DOToImplaus,208,The scuba instructor rented the equipment the tourist.,"Did the equipment receive someone? 
",Yes,Deletion,1
Expt,DOToImplaus,209,The boy handed the pencil the girl.,Did the pencil receive someone? ,Yes,Deletion,1
Expt,DOToImplaus,210,The nanny threw the toy the child.,Did the toy receive someone? ,Yes,Deletion,1
Expt,DOToImplaus,211,The nephew mailed the postcard the aunt.,Did the postcard receive someone? ,Yes,Deletion,1
Expt,DOToImplaus,212,The father gave the car the son.,Did the car receive someone? ,Yes,Deletion,1
Expt,DOToImplaus,213,The shop sold the bike the student.,Did the bike receive someone? ,Yes,Deletion,1
Expt,DOToImplaus,214,The janitor lent the mop the teacher.,Did the mop receive someone? ,Yes,Deletion,1
Expt,DOToImplaus,215,The car dealer leased the SUV the plumber.,Did the SUV receive someone? ,Yes,Deletion,1
Expt,DOToImplaus,216,The host tossed the microphone the contestant.,Did the contestant receive something? ,No,Deletion,1
Expt,DOToImplaus,217,The quarterback passed the ball the receiver.,Did the receiver receive something? ,No,Deletion,1
Expt,DOToImplaus,218,The videostore rented the DVD the customer.,Did the customer receive something? ,No,Deletion,1
Expt,DOToImplaus,219,The bartender handed the drink the lady.,Did the lady receive something? ,No,Deletion,1
Expt,DOToImplaus,220,The magician threw the hat the assistant.,Did the assistant receive something? ,No,Deletion,1
Expt,POToImplaus,221,The sister mailed the niece to the letter.,Did the niece receive something? ,No,Insertion,1
Expt,POToImplaus,222,The mother gave the daughter to the candle.,Did the daughter receive something? ,No,Insertion,1
Expt,POToImplaus,223,The uncle sold the father to the truck.,Did the father receive something? ,No,Insertion,1
Expt,POToImplaus,224,The contractor lent the homeowner to the saw.,Did the homeowner receive something? ,No,Insertion,1
Expt,POToImplaus,225,The sailing club leased the man to the boat.,Did the man receive something? ,No,Insertion,1
Expt,POToImplaus,226,The girl tossed the boy to the apple.,Did the apple receive someone? ,Yes,Insertion,1
Expt,POToImplaus,227,The daughter passed the mother to the bowl.,Did the bowl receive someone? ,Yes,Insertion,1
Expt,POToImplaus,228,The scuba instructor rented the tourist to the equipment.,Did the equipment receive someone? ,Yes,Insertion,1
Expt,POToImplaus,229,The boy handed the girl to the pencil.,Did the pencil receive someone? ,Yes,Insertion,1
Expt,POToImplaus,230,The nanny threw the child to the toy.,Did the toy receive someone? ,Yes,Insertion,1
Expt,POToImplaus,231,The nephew mailed the aunt to the postcard.,Did the postcard receive someone? ,Yes,Insertion,1
Expt,POToImplaus,232,The father gave the son to the car.,Did the car receive someone? ,Yes,Insertion,1
Expt,POToImplaus,233,The shop sold the student to the bike.,Did the bike receive someone? ,Yes,Insertion,1
Expt,POToImplaus,234,The janitor lent the teacher to the mop.,Did the mop receive someone? ,Yes,Insertion,1
Expt,POToImplaus,235,The car dealer leased the plumber to the SUV.,Did the SUV receive someone? ,Yes,Insertion,1
Expt,POToImplaus,236,The host tossed the contestant to the microphone.,Did the contestant receive something? ,No,Insertion,1
Expt,POToImplaus,237,The quarterback passed the receiver to the ball.,Did the receiver receive something? ,No,Insertion,1
Expt,POToImplaus,238,The videostore rented the customer to the DVD.,Did the customer receive something? ,No,Insertion,1
Expt,POToImplaus,239,The bartender handed the lady to the drink.,Did the lady receive something? ,No,Insertion,1
Expt,POToImplaus,240,The magician threw the assistant to the hat.,Did the assistant receive something? ,No,Insertion,1
Expt,POForPlaus,301,The cook baked a cake for Lucy.,Was something baked for Lucy? ,Yes,Deletion,0
Expt,POForPlaus,302,The bartender poured a drink for the customer.,Was something poured for the customer? ,Yes,Deletion,0
Expt,POForPlaus,303,The woman saved a seat for her husband.,Was something saved for the husband? ,Yes,Deletion,0
Expt,POForPlaus,304,The grandmother made a quilt for her granddaughter.,Was something made for the granddaughter? ,Yes,Deletion,0
Expt,POForPlaus,305,The apprentice fetched a hammer for the carpenter.,Was something fetched for the carpenter? ,Yes,Deletion,0
Expt,POForPlaus,306,The secretary ordered some office supplies for the boss.,Was something ordered for the boss? ,Yes,Deletion,0
Expt,POForPlaus,307,The wife reserved a table for her husband.,Was something reserved for the husband? ,Yes,Deletion,0
Expt,POForPlaus,308,The father bought a bicycle for his son.,Was something bought for the son? ,Yes,Deletion,0
Expt,POForPlaus,309,The charity built a house for the hurricane victim.,Was something built for the hurricane victim? ,Yes,Deletion,0
Expt,POForPlaus,310,The waitress fixed a sandwich for the customer.,Was something fixed for the customer? ,Yes,Deletion,0
Expt,POForPlaus,311,The grandmother baked some cookies for the grandson.,Was something baked for the cookies? ,No,Deletion,0
Expt,POForPlaus,312,The nurse poured some water for the old man.,Was something poured for the water? ,No,Deletion,0
Expt,POForPlaus,313,The receptionist saved some cake for her co-worker.,Was something saved for the cake? ,No,Deletion,0
Expt,POForPlaus,314,The seamstress made a dress for her client.,Was something made for the dress? ,No,Deletion,0
Expt,POForPlaus,315,The lab-assistant fetched a test-tube for the scientist.,Was something fetched for the test-tube? ,No,Deletion,0
Expt,POForPlaus,316,The man ordered some champagne for his girlfriend.,Was something ordered for the champagne? ,No,Deletion,0
Expt,POForPlaus,317,The travel agent reserved a flight for the businessman.,Was something reserved for the flight? ,No,Deletion,0
Expt,POForPlaus,318,The boyfriend obtained some concert tickets for his girlfriend.,Was something obtained for the concert tickets? ,No,Deletion,0
Expt,POForPlaus,319,The church built a shelter for the homeless.,Was something built for the shelter? ,No,Deletion,0
Expt,POForPlaus,320,The babysitter fixed some lunch for the child.,Was something fixed for the lunch? ,No,Deletion,0
Expt,DOForPlaus,321,The cook baked Lucy a cake.,Was something baked for Lucy? ,Yes,Insertion,0
Expt,DOForPlaus,322,The bartender poured the customer a drink.,Was something poured for the customer? ,Yes,Insertion,0
Expt,DOForPlaus,323,The woman saved her husband a seat.,Was something saved for the husband? ,Yes,Insertion,0
Expt,DOForPlaus,324,The grandmother made her granddaughter a quilt.,Was something made for the granddaughter? ,Yes,Insertion,0
Expt,DOForPlaus,325,The apprentice fetched the carpenter a hammer.,Was something fetched for the carpenter? ,Yes,Insertion,0
Expt,DOForPlaus,326,The secretary ordered the boss some office supplies.,Was something ordered for the boss? ,Yes,Insertion,0
Expt,DOForPlaus,327,The wife reserved her husband a table.,Was something reserved for the husband? ,Yes,Insertion,0
Expt,DOForPlaus,328,The father bought his son a bicycle.,Was something bought for the son? ,Yes,Insertion,0
Expt,DOForPlaus,329,The charity built the hurricane victim a house.,Was something built for the hurricane victim? ,Yes,Insertion,0
Expt,DOForPlaus,330,The waitress fixed the customer a sandwich.,Was something fixed for the customer? ,Yes,Insertion,0
Expt,DOForPlaus,331,The grandmother baked the grandson some cookies.,Was something baked for the cookies? ,No,Insertion,0
Expt,DOForPlaus,332,The nurse poured the old man some water.,Was something poured for the water? ,No,Insertion,0
Expt,DOForPlaus,333,The receptionist saved her co-worker some cake.,Was something saved for the cake? ,No,Insertion,0
Expt,DOForPlaus,334,The seamstress made her client a dress.,Was something made for the dress? ,No,Insertion,0
Expt,DOForPlaus,335,The lab-assistant fetched the scientist a test-tube.,Was something fetched for the test-tube? ,No,Insertion,0
Expt,DOForPlaus,336,The man ordered his girlfriend some champagne.,Was something ordered for the champagne? ,No,Insertion,0
Expt,DOForPlaus,337,The travel agent reserved the businessman a flight.,Was something reserved for the flight? ,No,Insertion,0
Expt,DOForPlaus,338,The boyfriend obtained his girlfriend some concert tickets., Was something obtained for the concert tickets? ,No,Insertion,0
Expt,DOForPlaus,339,The church built the homeless a shelter.,Was something built for the shelter? ,No,Insertion,0
Expt,DOForPlaus,340,The babysitter fixed the child some lunch.,Was something fixed for the lunch? ,No,Insertion,0
Expt,DOForImplaus,401,The cook baked a cake Lucy.,Was something baked for Lucy? ,No,Deletion,1
Expt,DOForImplaus,402,The bartender poured a drink the customer.,Was something poured for the customer? ,No,Deletion,1
Expt,DOForImplaus,403,The woman saved a seat her husband.,Was something saved for the husband? ,No,Deletion,1
Expt,DOForImplaus,404,The grandmother made a quilt her granddaughter.,Was something made for the granddaughter? ,No,Deletion,1
Expt,DOForImplaus,405,The apprentice fetched a hammer the carpenter.,Was something fetched for the carpenter? ,No,Deletion,1
Expt,DOForImplaus,406,The secretary ordered some office supplies the boss.,Was something ordered for the boss? ,No,Deletion,1
Expt,DOForImplaus,407,The wife reserved a table her husband.,Was something reserved for the husband? ,No,Deletion,1
Expt,DOForImplaus,408,The father bought a bicycle his son.,Was something bought for the son? ,No,Deletion,1
Expt,DOForImplaus,409,The charity built a house the hurricane victim.,Was something built for the hurricane victim? ,No,Deletion,1
Expt,DOForImplaus,410,The waitress fixed a sandwich the customer.,Was something fixed for the customer? ,No,Deletion,1
Expt,DOForImplaus,411,The grandmother baked some cookies the grandson.,Was something baked for the cookies? ,Yes,Deletion,1
Expt,DOForImplaus,412,The nurse poured some water the old man.,Was something poured for the water? ,Yes,Deletion,1
Expt,DOForImplaus,413,The receptionist saved some cake her co-worker.,Was something saved for the cake? ,Yes,Deletion,1
Expt,DOForImplaus,414,The seamstress made a dress her client.,Was something made for the dress? ,Yes,Deletion,1
Expt,DOForImplaus,415,The lab-assistant fetched a test-tube the scientist.,Was something fetched for the test-tube? ,Yes,Deletion,1
Expt,DOForImplaus,416,The man ordered some champagne his girlfriend.,Was something ordered for the champagne? ,Yes,Deletion,1
Expt,DOForImplaus,417,The travel agent reserved a flight the businessman.,Was something reserved for the flight? ,Yes,Deletion,1
Expt,DOForImplaus,418,The boyfriend obtained some concert tickets his girlfriend.,Was something obtained for the concert tickets? ,Yes,Deletion,1
Expt,DOForImplaus,419,The church built a shelter the homeless.,Was something built for the shelter? ,Yes,Deletion,1
Expt,DOForImplaus,420,The babysitter fixed some lunch the child.,Was something fixed for the lunch? ,Yes,Deletion,1
Expt,POForImplaus,421,The cook baked Lucy for a cake.,Was something baked for Lucy? ,No,Insertion,1
Expt,POForImplaus,422,The bartender poured the customer for a drink.,Was something poured for the customer? ,No,Insertion,1
Expt,POForImplaus,423,The woman saved her husband for a seat.,Was something saved for the husband? ,No,Insertion,1
Expt,POForImplaus,424,The grandmother made her granddaughter for a quilt.,Was something made for the granddaughter? ,No,Insertion,1
Expt,POForImplaus,425,The apprentice fetched the carpenter for a hammer.,Was something fetched for the carpenter? ,No,Insertion,1
Expt,POForImplaus,426,The secretary ordered the boss for some office supplies.,Was something ordered for the boss? ,No,Insertion,1
Expt,POForImplaus,427,The wife reserved her husband for a table.,Was something reserved for the husband? ,No,Insertion,1
Expt,POForImplaus,428,The father bought his son for a bicycle.,Was something bought for the son? ,No,Insertion,1
Expt,POForImplaus,429,The charity built the hurricane victim for a house.,Was something built for the hurricane victim? ,No,Insertion,1
Expt,POForImplaus,430,The waitress fixed the customer for a sandwich.,Was something fixed for the customer? ,No,Insertion,1
Expt,POForImplaus,431,The grandmother baked the grandson for some cookies.,Was something baked for the cookies? ,Yes,Insertion,1
Expt,POForImplaus,432,The nurse poured the old man for some water.,Was something poured for the water? ,Yes,Insertion,1
Expt,POForImplaus,433,The receptionist saved her co-worker for some cake.,Was something saved for the cake? ,Yes,Insertion,1
Expt,POForImplaus,434,The seamstress made her client for a dress.,"Was something made for the dress? 
",Yes,Insertion,1
Expt,POForImplaus,435,The lab-assistant fetched the scientist for a test-tube.,Was something fetched for the test-tube? ,Yes,Insertion,1
Expt,POForImplaus,436,The man ordered his girlfriend for some champagne.,Was something ordered for the champagne? ,Yes,Insertion,1
Expt,POForImplaus,437,The travel agent reserved the businessman for a flight.,Was something reserved for the flight? ,Yes,Insertion,1
Expt,POForImplaus,438,The boyfriend obtained his girlfriend for some concert tickets.,Was something obtained for the concert tickets? ,Yes,Insertion,1
Expt,POForImplaus,439,The church built the homeless for a shelter.,Was something built for the shelter? ,Yes,Insertion,1
Expt,POForImplaus,440,The babysitter fixed the child for some lunch.,Was something fixed for the lunch? ,Yes,Insertion,1
Expt,ObjPlaus,501,A magnificent diamond sparkled on the prince's finger.,Was there a diamond on the prince's finger? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,502,A flowering plant is on the window sill.,Is there a plant on the window sill? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,503,An old woman lives in the woods.,Does a woman live in the woods? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,504,A cat jumped onto the table.,Was there a cat on the table? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,505,A choir sang in the church.,Did a choir sing inside the church? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,506,An old man wandered into a bathroom.,Did an old man go into a bathroom? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,507,The baby crawled into the hallway.,Did the baby go into the hallway? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,508,The marathoner ran into the stadium.,Did the marathoner go into the stadium? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,509,The boy walked into the metal detector.,Did the boy go into the metal detector? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,510,The painting hung on the bedroom wall.,Was the painting hanging on the wall? ,Yes,Deletion+Insertion,0
Expt,ObjPlaus,511,The helicopter hovered over the water.,Did the water hover over the helicopter? ,No,Deletion+Insertion,0
Expt,ObjPlaus,512,The small plant grew into a huge tree.,Did the huge tree grow into the small plant? ,No,Deletion+Insertion,0
Expt,ObjPlaus,513,A ghost appeared above the bed.,Did the bed appear above a ghost? ,No,Deletion+Insertion,0
Expt,ObjPlaus,514,The train arrived at the station.,Did the station arrive at the train? ,No,Deletion+Insertion,0
Expt,ObjPlaus,515,Some treasure was found in the cave.,Was the cave found inside the treasure? ,No,Deletion+Insertion,0
Expt,ObjPlaus,516,The name was engraved on the ring.,Was the ring engraved on the name? ,No,Deletion+Insertion,0
Expt,ObjPlaus,517,The mobile was hanging from the ceiling.,Was the ceiling hanging from the mobile? ,No,Deletion+Insertion,0
Expt,ObjPlaus,518,The apple was placed on the teacher's desk.,Was the teacher's desk put on the apple? ,No,Deletion+Insertion,0
Expt,ObjPlaus,519,The defendant's name was written on the check.,Was the check written on the defendant's name? ,No,Deletion+Insertion,0
Expt,ObjPlaus,520,The moose's head was mounted on the wall.,Was the wall mounted on the moose's head? ,No,Deletion+Insertion,0
Expt,SubjPlaus,521,On the prince's finger sparkled a magnificent diamond.,Was there a diamond on the prince's finger? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,522,On the window sill is a flowering plant.,Is there a plant on the window sill? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,523,In the woods lives an old woman.,Does a woman live in the woods? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,524,Onto the table jumped a cat.,Was there a cat on the table? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,525,In the church sang a choir.,Did a choir sing inside the church? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,526,Into a bathroom wandered an old man.,Did an old man go into a bathroom? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,527,Into the hallway crawled the baby.,Did the baby go into the hallway? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,528,Into the stadium ran the marathoner.,Did the marathoner go into the stadium? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,529,Into the metal detector walked the boy.,Did the boy go into the metal detector? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,530,On the bedroom wall hung the painting.,Was the painting hanging on the wall? ,Yes,Deletion+Insertion,0
Expt,SubjPlaus,531,Over the water hovered the helicopter.,Did the water hover over the helicopter? ,No,Deletion+Insertion,0
Expt,SubjPlaus,532,Into a huge tree grew the small plant.,Did the huge tree grow into the small plant? ,No,Deletion+Insertion,0
Expt,SubjPlaus,533,Above the bed appeared a ghost.,Did the bed appear above a ghost? ,No,Deletion+Insertion,0
Expt,SubjPlaus,534,At the station arrived the train.,Did the station arrive at the train? ,No,Deletion+Insertion,0
Expt,SubjPlaus,535,In the cave was found some treasure.,Was the cave found inside the treasure? ,No,Deletion+Insertion,0
Expt,SubjPlaus,536,On the ring was engraved the name.,Was the ring engraved on the name? ,No,Deletion+Insertion,0
Expt,SubjPlaus,537,From the ceiling was hanging the mobile.,Was the ceiling hanging from the mobile? ,No,Deletion+Insertion,0
Expt,SubjPlaus,538,On the teacher's desk was placed the apple.,Was the teacher's desk put on the apple? ,No,Deletion+Insertion,0
Expt,SubjPlaus,539,On the check was written the defendant's name.,Was the check written on the defendant's name? ,No,Deletion+Insertion,0
Expt,SubjPlaus,540,On the wall was mounted the moose's head.,Was the wall mounted on the moose's head? ,No,Deletion+Insertion,0
Expt,SubjImplaus,601,On a magnificent diamond sparkled the prince's finger.,Was there a diamond on the prince's finger? ,No,Deletion+Insertion,2
